"Date","specimen","timepoint_mo","Condition","CD45_count","Tcells_count","Vd2_pos","Vd2_neg","Va7.2_pos","Va7.2_neg","CD4_pos","CD8_pos"
"2025-07-31","INF0169",0,"Ctrl",854594,75540,0.01,0.99,0.02,0.97,0.75,0.14
"2025-07-31","INF0169",4,"Ctrl",719400,100425,0.01,0.99,0.02,0.97,0.81,0.09
"2025-07-31","INF0169",9,"Ctrl",515731,136465,0.02,0.98,0.02,0.96,0.83,0.08
"2025-07-31","INF0124",0,"PPD",703680,68997,0.01,0.99,0.01,0.98,0.67,0.27
"2025-07-31","INF0124",4,"PPD",948655,257077,0.01,0.99,0.01,0.98,0.52,0.42
"2025-07-31","INF0124",9,"PPD",940348,302779,0,1,0.01,0.99,0.65,0.3
"2025-07-31","INF0149",0,"PPD",723885,91782,0.02,0.98,0.02,0.96,0.62,0.3
"2025-07-31","INF0149",4,"PPD",786174,305179,0.01,0.99,0.02,0.97,0.67,0.27
"2025-07-31","INF0149",9,"PPD",762707,295443,0.01,0.99,0.03,0.96,0.6,0.32
"2025-07-31","INF0169",0,"PPD",773674,74296,0.01,0.99,0.01,0.97,0.74,0.13
"2025-07-31","INF0169",4,"PPD",613226,80159,0.01,0.99,0.02,0.97,0.81,0.09
"2025-07-31","INF0169",9,"PPD",696984,150495,0.02,0.98,0.02,0.96,0.83,0.08
"2025-07-31","INF0124",0,"SEB",601085,69374,0.01,0.99,0.01,0.98,0.66,0.26
"2025-07-31","INF0124",4,"SEB",985662,255776,0.01,0.99,0,0.99,0.49,0.45
"2025-07-31","INF0124",9,"SEB",684063,229141,0,1,0.01,0.99,0.66,0.29
"2025-07-31","INF0149",0,"SEB",795067,92992,0.02,0.98,0.01,0.97,0.58,0.32
"2025-07-31","INF0149",4,"SEB",717901,267164,0.01,0.99,0.01,0.98,0.66,0.28
"2025-07-31","INF0149",9,"SEB",330943,119060,0.01,0.99,0.02,0.97,0.57,0.35
"2025-07-31","INF0169",0,"SEB",823307,78269,0.01,0.99,0.01,0.98,0.72,0.14
"2025-07-31","INF0169",4,"SEB",471854,59866,0.01,0.99,0.01,0.98,0.8,0.1
"2025-07-31","INF0169",9,"SEB",594438,125813,0.02,0.98,0.01,0.97,0.83,0.08
"2025-08-05","INF0019",0,"Ctrl",873622,208055,0.01,0.99,0.01,0.98,0.73,0.22
"2025-08-05","INF0019",4,"Ctrl",761206,242421,0,1,0.01,0.98,0.65,0.29
"2025-08-05","INF0019",9,"Ctrl",1132950,632492,0,1,0.02,0.98,0.7,0.26
"2025-08-05","INF0032",0,"Ctrl",753064,361034,0.01,0.99,0.02,0.98,0.71,0.24
"2025-08-05","INF0032",4,"Ctrl",454567,159481,0.01,0.99,0.01,0.98,0.68,0.22
"2025-08-05","INF0032",9,"Ctrl",858876,445087,0.02,0.98,0.02,0.96,0.71,0.22
"2025-08-05","INF0180",0,"Ctrl",1049663,284958,0,1,0.02,0.98,0.66,0.3
